### Raw data #######################################
#   nrec = 10001                                   #
#   delta_t = 0.1000000                            #
####################################################
#       [1]t              [2]Re[u]         [3]Im[u]     [4]Re[du/dt]     [5]Im[du/dt]         [6]Re[f]         [7]Im[f]
    7.600000        0.1858564E-002  -0.2660683E-002   0.2802555E-006  -0.5079625E-004  -0.3900855E-005  -0.2860381E-004
    7.700000        0.1858585E-002  -0.2665797E-002   0.1526487E-006  -0.5149572E-004  -0.4022058E-005  -0.2919346E-004
    7.800000        0.1858594E-002  -0.2670982E-002   0.2106371E-007  -0.5221097E-004  -0.4147199E-005  -0.2979802E-004
    7.900000        0.1858589E-002  -0.2676240E-002  -0.1146373E-006  -0.5294251E-004  -0.4276416E-005  -0.3041799E-004
    8.000000        0.1858571E-002  -0.2681571E-002  -0.2545976E-006  -0.5369085E-004  -0.4409856E-005  -0.3105389E-004
    8.100000        0.1858538E-002  -0.2686979E-002  -0.3989660E-006  -0.5445656E-004  -0.4547668E-005  -0.3170629E-004
    8.200000        0.1858491E-002  -0.2692463E-002  -0.5478973E-006  -0.5524020E-004  -0.4690010E-005  -0.3237576E-004
    8.300000        0.1858429E-002  -0.2698027E-002  -0.7015523E-006  -0.5604238E-004  -0.4837045E-005  -0.3306290E-004
    8.400000        0.1858351E-002  -0.2703672E-002  -0.8600982E-006  -0.5686371E-004  -0.4988941E-005  -0.3376834E-004
    8.500000        0.1858256E-002  -0.2709401E-002  -0.1023709E-005  -0.5770485E-004  -0.5145877E-005  -0.3449272E-004
    8.600000        0.1858146E-002  -0.2715214E-002  -0.1192565E-005  -0.5856647E-004  -0.5308034E-005  -0.3523674E-004
    8.700000        0.1858018E-002  -0.2721115E-002  -0.1366854E-005  -0.5944928E-004  -0.5475604E-005  -0.3600111E-004
    8.800000        0.1857872E-002  -0.2727105E-002  -0.1546772E-005  -0.6035402E-004  -0.5648785E-005  -0.3678656E-004
    8.900000        0.1857708E-002  -0.2733186E-002  -0.1732522E-005  -0.6128146E-004  -0.5827783E-005  -0.3759388E-004
    9.000000        0.1857525E-002  -0.2739362E-002  -0.1924315E-005  -0.6223240E-004  -0.6012813E-005  -0.3842388E-004
    9.100000        0.1857323E-002  -0.2745633E-002  -0.2122371E-005  -0.6320767E-004  -0.6204098E-005  -0.3927739E-004
    9.200000        0.1857101E-002  -0.2752004E-002  -0.2326918E-005  -0.6420815E-004  -0.6401869E-005  -0.4015531E-004
    9.300000        0.1856857E-002  -0.2758476E-002  -0.2538195E-005  -0.6523475E-004  -0.6606369E-005  -0.4105854E-004
    9.400000        0.1856593E-002  -0.2765052E-002  -0.2756447E-005  -0.6628841E-004  -0.6817849E-005  -0.4198805E-004
    9.500000        0.1856306E-002  -0.2771735E-002  -0.2981932E-005  -0.6737013E-004  -0.7036569E-005  -0.4294485E-004
    9.600000        0.1855996E-002  -0.2778527E-002  -0.3214917E-005  -0.6848093E-004  -0.7262800E-005  -0.4392998E-004
    9.700000        0.1855663E-002  -0.2785432E-002  -0.3455680E-005  -0.6962191E-004  -0.7496826E-005  -0.4494452E-004
    9.800000        0.1855305E-002  -0.2792452E-002  -0.3704509E-005  -0.7079417E-004  -0.7738940E-005  -0.4598962E-004
    9.900000        0.1854922E-002  -0.2799592E-002  -0.3961706E-005  -0.7199889E-004  -0.7989447E-005  -0.4706647E-004
    10.00000        0.1854512E-002  -0.2806853E-002  -0.4227581E-005  -0.7323729E-004  -0.8248665E-005  -0.4817629E-004
    10.10000        0.1854076E-002  -0.2814240E-002  -0.4502459E-005  -0.7451065E-004  -0.8516922E-005  -0.4932039E-004
    10.20000        0.1853611E-002  -0.2821757E-002  -0.4786677E-005  -0.7582030E-004  -0.8794563E-005  -0.5050012E-004
    10.30000        0.1853118E-002  -0.2829406E-002  -0.5080586E-005  -0.7716761E-004  -0.9081943E-005  -0.5171686E-004
    10.40000        0.1852595E-002  -0.2837191E-002  -0.5384550E-005  -0.7855403E-004  -0.9379432E-005  -0.5297210E-004
    10.50000        0.1852041E-002  -0.2845118E-002  -0.5698945E-005  -0.7998107E-004  -0.9687414E-005  -0.5426736E-004
    10.60000        0.1851455E-002  -0.2853189E-002  -0.6024165E-005  -0.8145029E-004  -0.1000629E-004  -0.5560423E-004
    10.70000        0.1850836E-002  -0.2861409E-002  -0.6360618E-005  -0.8296333E-004  -0.1033647E-004  -0.5698437E-004
    10.80000        0.1850182E-002  -0.2869783E-002  -0.6708725E-005  -0.8452188E-004  -0.1067839E-004  -0.5840951E-004
    10.90000        0.1849493E-002  -0.2878315E-002  -0.7068927E-005  -0.8612773E-004  -0.1103250E-004  -0.5988144E-004
    11.00000        0.1848768E-002  -0.2887010E-002  -0.7441678E-005  -0.8778270E-004  -0.1139925E-004  -0.6140205E-004
    11.10000        0.1848005E-002  -0.2895873E-002  -0.7827451E-005  -0.8948873E-004  -0.1177913E-004  -0.6297328E-004
    11.20000        0.1847202E-002  -0.2904910E-002  -0.8226735E-005  -0.9124781E-004  -0.1217263E-004  -0.6459718E-004
    11.30000        0.1846359E-002  -0.2914125E-002  -0.8640038E-005  -0.9306203E-004  -0.1258028E-004  -0.6627584E-004
    11.40000        0.1845474E-002  -0.2923524E-002  -0.9067885E-005  -0.9493354E-004  -0.1300260E-004  -0.6801148E-004
    11.50000        0.1844545E-002  -0.2933114E-002  -0.9510821E-005  -0.9686461E-004  -0.1344015E-004  -0.6980639E-004
    11.60000        0.1843571E-002  -0.2942899E-002  -0.9969409E-005  -0.9885756E-004  -0.1389351E-004  -0.7166294E-004
    11.70000        0.1842550E-002  -0.2952887E-002  -0.1044423E-004  -0.1009148E-003  -0.1436326E-004  -0.7358361E-004
    11.80000        0.1841481E-002  -0.2963084E-002  -0.1093589E-004  -0.1030389E-003  -0.1485002E-004  -0.7557097E-004
    11.90000        0.1840363E-002  -0.2973497E-002  -0.1144502E-004  -0.1052325E-003  -0.1535442E-004  -0.7762769E-004
    12.00000        0.1839192E-002  -0.2984133E-002  -0.1197224E-004  -0.1074983E-003  -0.1587711E-004  -0.7975655E-004
    12.10000        0.1837968E-002  -0.2994999E-002  -0.1251824E-004  -0.1098391E-003  -0.1641878E-004  -0.8196042E-004
    12.20000        0.1836688E-002  -0.3006104E-002  -0.1308370E-004  -0.1122579E-003  -0.1698012E-004  -0.8424229E-004
    12.30000        0.1835350E-002  -0.3017454E-002  -0.1366931E-004  -0.1147577E-003  -0.1756184E-004  -0.8660526E-004
    12.40000        0.1833953E-002  -0.3029058E-002  -0.1427582E-004  -0.1173416E-003  -0.1816469E-004  -0.8905255E-004
    12.50000        0.1832494E-002  -0.3040925E-002  -0.1490397E-004  -0.1200129E-003  -0.1878943E-004  -0.9158747E-004
    12.60000        0.1830971E-002  -0.3053064E-002  -0.1555453E-004  -0.1227751E-003  -0.1943684E-004  -0.9421347E-004
    12.70000        0.1829383E-002  -0.3065483E-002  -0.1622831E-004  -0.1256316E-003  -0.2010773E-004  -0.9693413E-004
    12.80000        0.1827725E-002  -0.3078193E-002  -0.1692610E-004  -0.1285860E-003  -0.2080293E-004  -0.9975313E-004
    12.90000        0.1825996E-002  -0.3091204E-002  -0.1764876E-004  -0.1316422E-003  -0.2152328E-004  -0.1026743E-003
    13.00000        0.1824194E-002  -0.3104525E-002  -0.1839714E-004  -0.1348039E-003  -0.2226965E-004  -0.1057016E-003
    13.10000        0.1822316E-002  -0.3118168E-002  -0.1917211E-004  -0.1380752E-003  -0.2304294E-004  -0.1088390E-003
    13.20000        0.1820359E-002  -0.3132144E-002  -0.1997458E-004  -0.1414602E-003  -0.2384405E-004  -0.1120909E-003
    13.30000        0.1818320E-002  -0.3146464E-002  -0.2080547E-004  -0.1449631E-003  -0.2467392E-004  -0.1154615E-003
    13.40000        0.1816197E-002  -0.3161141E-002  -0.2166572E-004  -0.1485885E-003  -0.2553349E-004  -0.1189552E-003
    13.50000        0.1813986E-002  -0.3176186E-002  -0.2255629E-004  -0.1523407E-003  -0.2642374E-004  -0.1225768E-003
    13.60000        0.1811685E-002  -0.3191613E-002  -0.2347814E-004  -0.1562245E-003  -0.2734565E-004  -0.1263310E-003
    13.70000        0.1809289E-002  -0.3207436E-002  -0.2443228E-004  -0.1602447E-003  -0.2830023E-004  -0.1302226E-003
    13.80000        0.1806797E-002  -0.3223667E-002  -0.2541972E-004  -0.1644062E-003  -0.2928848E-004  -0.1342567E-003
    13.90000        0.1804204E-002  -0.3240322E-002  -0.2644147E-004  -0.1687141E-003  -0.3031145E-004  -0.1384384E-003
    14.00000        0.1801508E-002  -0.3257415E-002  -0.2749858E-004  -0.1731736E-003  -0.3137018E-004  -0.1427730E-003
    14.10000        0.1798703E-002  -0.3274962E-002  -0.2859210E-004  -0.1777900E-003  -0.3246571E-004  -0.1472660E-003
    14.20000        0.1795788E-002  -0.3292978E-002  -0.2972308E-004  -0.1825688E-003  -0.3359911E-004  -0.1519228E-003
